dataset_id,dataset_name,fold,estimator,n_train,n_test,n_original_features,accuracy,f1,auroc,fit_time,predict_time
14,Breast Cancer,1,RandomFuzzyRules__max_rules_len__2,257,29,9,0.7931034482758621,0.5,0.7232142857142856,0.05182369996327907,0.00026670005172491074
14,Breast Cancer,1,RandomFuzzyRules__max_rules_len__3,257,29,9,0.7586206896551724,0.36363636363636365,0.6607142857142857,0.05501200002618134,0.0002343999221920967
14,Breast Cancer,1,RandomFuzzyRules__max_rules_len__4,257,29,9,0.7586206896551724,0.36363636363636365,0.6607142857142857,0.055054399999789894,0.00032270001247525215
14,Breast Cancer,1,RandomFuzzyRules__max_rules_len__5,257,29,9,0.7586206896551724,0.36363636363636365,0.6607142857142857,0.06669190002139658,0.0002519999397918582
14,Breast Cancer,1,RandomFuzzyRules__max_rules_len__6,257,29,9,0.7586206896551724,0.36363636363636365,0.6607142857142857,0.07235709996894002,0.00025809998624026775
14,Breast Cancer,1,RandomFuzzyRules__max_rules_len__7,257,29,9,0.7586206896551724,0.36363636363636365,0.6607142857142857,0.07268440001644194,0.0002937000244855881
14,Breast Cancer,2,RandomFuzzyRules__max_rules_len__2,257,29,9,0.6896551724137931,0.0,0.48055555555555557,0.05397509993053973,0.00026810006238520145
14,Breast Cancer,2,RandomFuzzyRules__max_rules_len__3,257,29,9,0.7241379310344828,0.19999999999999998,0.5555555555555556,0.056556399911642075,0.00023900007363408804
14,Breast Cancer,2,RandomFuzzyRules__max_rules_len__4,257,29,9,0.6896551724137931,0.0,0.48055555555555557,0.05832599999848753,0.00029640004504472017
14,Breast Cancer,2,RandomFuzzyRules__max_rules_len__5,257,29,9,0.6896551724137931,0.0,0.5055555555555555,0.05625809996854514,0.0005289000691846013
14,Breast Cancer,2,RandomFuzzyRules__max_rules_len__6,257,29,9,0.6896551724137931,0.0,0.5055555555555555,0.0751083999639377,0.00026760005857795477
14,Breast Cancer,2,RandomFuzzyRules__max_rules_len__7,257,29,9,0.6896551724137931,0.0,0.5055555555555555,0.07925890001934022,0.0002473000204190612
14,Breast Cancer,3,RandomFuzzyRules__max_rules_len__2,257,29,9,0.7931034482758621,0.5714285714285714,0.7333333333333333,0.06911289994604886,0.0002539000706747174
14,Breast Cancer,3,RandomFuzzyRules__max_rules_len__3,257,29,9,0.7931034482758621,0.5714285714285714,0.6972222222222222,0.07794960006140172,0.0003299999516457319
14,Breast Cancer,3,RandomFuzzyRules__max_rules_len__4,257,29,9,0.7931034482758621,0.5714285714285714,0.7333333333333333,0.06673770002089441,0.0002778000198304653
14,Breast Cancer,3,RandomFuzzyRules__max_rules_len__5,257,29,9,0.7931034482758621,0.5714285714285714,0.7083333333333334,0.06768480001483113,0.0003785000881180167
14,Breast Cancer,3,RandomFuzzyRules__max_rules_len__6,257,29,9,0.7931034482758621,0.5714285714285714,0.7083333333333334,0.06545649992767721,0.00025050004478543997
14,Breast Cancer,3,RandomFuzzyRules__max_rules_len__7,257,29,9,0.7931034482758621,0.5714285714285714,0.7083333333333334,0.06514439999591559,0.0003114999271929264
14,Breast Cancer,4,RandomFuzzyRules__max_rules_len__2,257,29,9,0.7241379310344828,0.42857142857142855,0.7666666666666667,0.052806399995461106,0.00027799990493804216
14,Breast Cancer,4,RandomFuzzyRules__max_rules_len__3,257,29,9,0.7586206896551724,0.46153846153846156,0.6416666666666666,0.05278070003259927,0.00023910007439553738
14,Breast Cancer,4,RandomFuzzyRules__max_rules_len__4,257,29,9,0.7241379310344828,0.42857142857142855,0.7666666666666667,0.06598950002808124,0.0003225000109523535
14,Breast Cancer,4,RandomFuzzyRules__max_rules_len__5,257,29,9,0.7241379310344828,0.3333333333333333,0.5861111111111111,0.06896710000000894,0.00028419995214790106
14,Breast Cancer,4,RandomFuzzyRules__max_rules_len__6,257,29,9,0.7241379310344828,0.3333333333333333,0.5861111111111111,0.06804489996284246,0.0002948000328615308
14,Breast Cancer,4,RandomFuzzyRules__max_rules_len__7,257,29,9,0.7241379310344828,0.3333333333333333,0.5861111111111111,0.06438200001139194,0.00028089992702007294
14,Breast Cancer,5,RandomFuzzyRules__max_rules_len__2,257,29,9,0.6551724137931034,0.0,0.47777777777777775,0.049102700082585216,0.00031399994622915983
