dataset_name,estimator,accuracy,balanced_accuracy,auroc,mcc,fit_time,completed_folds,n_expected_folds
anes_voting_2026,RandomFuzzyRules__max_rules_len__2,0.8216250702294655,0.6230383525496337,0.6231634302781415,0.2999166739884562,1.0343534495267603,9,9
anes_voting_2026,RandomFuzzyRules__max_rules_len__3,0.822328432611267,0.6107507510106349,0.617768997871502,0.33189863329491104,1.135221419752472,9,9
anes_voting_2026,RandomFuzzyRules__max_rules_len__4,0.8510907578731612,0.6935089408803439,0.693692999568722,0.48863738023983533,1.1985346771155794,9,9
anes_voting_2026,RandomFuzzyRules__max_rules_len__5,0.8326722083829754,0.6832169921515566,0.6832865550703471,0.43506588846523614,1.275189939627631,9,9
anes_voting_2026,RandomFuzzyRules__max_rules_len__6,0.8302959829516987,0.6359410287060984,0.6358683988534133,0.3661736651383475,1.3426095563918352,9,9
anes_voting_2026,RandomFuzzyRules__max_rules_len__7,0.7750927468854395,0.6415018054201108,0.6465659894390401,0.3428615817217512,1.4145714931914375,9,9
aps_failure,RandomFuzzyRules__max_rules_len__2,0.9828771923994343,0.5717803271233817,0.9402175134514282,0.2936868724944655,0.719318350052668,9,9
aps_failure,RandomFuzzyRules__max_rules_len__3,0.9834736809153735,0.5975350613823729,0.9731392021242642,0.3512928660317211,0.8269091829554074,9,9
aps_failure,RandomFuzzyRules__max_rules_len__4,0.9830570153450395,0.5826800329412738,0.9561596973014106,0.31319338753715864,0.9184368175143997,9,9
aps_failure,RandomFuzzyRules__max_rules_len__5,0.9836052615940668,0.57451655248119,0.970010717956234,0.3266928916786169,0.9665975563435091,9,9
aps_failure,RandomFuzzyRules__max_rules_len__6,0.9832061366516667,0.5868148153247648,0.9537203993772216,0.3292803455025492,1.083145782041053,9,9
aps_failure,RandomFuzzyRules__max_rules_len__7,0.9833245596087463,0.5858032500071539,0.9680713208866365,0.329508517659208,1.093061566973726,9,9
bank_marketing,RandomFuzzyRules__max_rules_len__2,0.8928726694041431,0.585214788532176,0.585214788532176,0.3060138743558835,0.15444552582792104,9,9
bank_marketing,RandomFuzzyRules__max_rules_len__3,0.8929021609152203,0.5853955100523838,0.5853955100523838,0.3063927600475586,0.1540784889625178,9,9
bank_marketing,RandomFuzzyRules__max_rules_len__4,0.8927989384249704,0.5850636925422196,0.5850636925422196,0.30544550417851357,0.1503488749472631,9,9
bank_marketing,RandomFuzzyRules__max_rules_len__5,0.8928800399581284,0.5856563575073993,0.5856563575073993,0.3065633935123764,0.14912710545791516,9,9
bank_marketing,RandomFuzzyRules__max_rules_len__6,0.8927325843596131,0.5843973637988354,0.5843973637988354,0.30429525851944517,0.14880795683711764,9,9
bank_marketing,RandomFuzzyRules__max_rules_len__7,0.8929463954911387,0.5854752332731945,0.5854752332731945,0.3067617156752198,0.1482571973982784,9,9
blood_transfusion,RandomFuzzyRules__max_rules_len__2,0.7633668005354752,0.5221108385370204,0.666412838239667,0.1168427103365955,0.020371813715125073,60,60
blood_transfusion,RandomFuzzyRules__max_rules_len__3,0.7662412315930388,0.5241939240757261,0.6739217588462681,0.1346436549652096,0.022675653438394228,60,60
blood_transfusion,RandomFuzzyRules__max_rules_len__4,0.7653732262382865,0.5243077857072058,0.6682684111408465,0.13044326673707313,0.027086717177492826,60,60
