dataset_name,repeat_id,fold_id,fold,n_expected_folds,estimator,n_train,n_test,n_original_features,n_transformed_features,accuracy,fit_time,predict_time
aps_failure,0,0,1,9,RandomFuzzyRules__sampling__n1_l1,50666,25334,170,170,0.9834214889081866,1.4500747709535062,0.012242845026776195
aps_failure,0,0,1,9,RandomFuzzyRules__sampling__n1_l2,50666,25334,170,170,0.9835399068445567,1.0839259549975395,0.012269664090126753
aps_failure,0,0,1,9,RandomFuzzyRules__sampling__n2_l1,50666,25334,170,170,0.982987289808163,1.2913571330718696,0.012296054046601057
aps_failure,0,0,1,9,RandomFuzzyRules__sampling__n2_l2,50666,25334,170,170,0.983105707744533,1.0627235199790448,0.012216764967888594
aps_failure,0,1,2,9,RandomFuzzyRules__sampling__n1_l1,50667,25333,170,170,0.9834997828918801,1.4072590561117977,0.024585168110206723
aps_failure,0,1,2,9,RandomFuzzyRules__sampling__n1_l2,50667,25333,170,170,0.9834208344846642,1.063057015882805,0.024640787858515978
aps_failure,0,1,2,9,RandomFuzzyRules__sampling__n2_l1,50667,25333,170,170,0.9827497730233292,1.2903697800356895,0.02567275706678629
aps_failure,0,1,2,9,RandomFuzzyRules__sampling__n2_l2,50667,25333,170,170,0.9823550309872499,1.0488203598652035,0.026193971978500485
aps_failure,0,2,3,9,RandomFuzzyRules__sampling__n1_l1,50667,25333,170,170,0.9844076895748628,1.4332881059963256,0.012021207017824054
aps_failure,0,2,3,9,RandomFuzzyRules__sampling__n1_l2,50667,25333,170,170,0.9841708443532152,1.0710650221444666,0.011587251210585237
aps_failure,0,2,3,9,RandomFuzzyRules__sampling__n2_l1,50667,25333,170,170,0.9831839892630166,1.2937456031795591,0.01245138281956315
aps_failure,0,2,3,9,RandomFuzzyRules__sampling__n2_l2,50667,25333,170,170,0.9837366281135278,1.0462996040005237,0.012230354826897383
aps_failure,1,0,4,9,RandomFuzzyRules__sampling__n1_l1,50666,25334,170,170,0.983895160653667,1.4282428650185466,0.025552278850227594
