dataset_id,dataset_name,fold,estimator,n_train,n_test,n_original_features,accuracy,f1,auroc,fit_time,predict_time
14,Breast Cancer,1,RandomFuzzyRules__max_sampling_attempts__20000,257,29,9,0.7586206896551724,0.36363636363636365,0.6607142857142857,0.051511499914340675,0.00031720008701086044
14,Breast Cancer,1,RandomFuzzyRules__max_sampling_attempts__100000,257,29,9,0.7586206896551724,0.36363636363636365,0.6607142857142857,0.06576240004505962,0.0003223000094294548
14,Breast Cancer,1,RandomFuzzyRules__max_sampling_attempts__1000000,257,29,9,0.7586206896551724,0.36363636363636365,0.6607142857142857,0.06622390006668866,0.0002527999458834529
14,Breast Cancer,2,RandomFuzzyRules__max_sampling_attempts__20000,257,29,9,0.6896551724137931,0.0,0.5055555555555555,0.049129200051538646,0.0003418000414967537
14,Breast Cancer,2,RandomFuzzyRules__max_sampling_attempts__100000,257,29,9,0.6896551724137931,0.0,0.5055555555555555,0.08584110008087009,0.00035099999513477087
14,Breast Cancer,2,RandomFuzzyRules__max_sampling_attempts__1000000,257,29,9,0.6896551724137931,0.0,0.5055555555555555,0.07567080005537719,0.00023849995341151953
14,Breast Cancer,3,RandomFuzzyRules__max_sampling_attempts__20000,257,29,9,0.7931034482758621,0.5714285714285714,0.7083333333333334,0.04777740000281483,0.0003440000582486391
14,Breast Cancer,3,RandomFuzzyRules__max_sampling_attempts__100000,257,29,9,0.7931034482758621,0.5714285714285714,0.7083333333333334,0.06510529993101954,0.00029450003057718277
14,Breast Cancer,3,RandomFuzzyRules__max_sampling_attempts__1000000,257,29,9,0.7931034482758621,0.5714285714285714,0.7083333333333334,0.07531380001455545,0.0003397000255063176
14,Breast Cancer,4,RandomFuzzyRules__max_sampling_attempts__20000,257,29,9,0.7241379310344828,0.3333333333333333,0.5861111111111111,0.045025200000964105,0.0002739999908953905
14,Breast Cancer,4,RandomFuzzyRules__max_sampling_attempts__100000,257,29,9,0.7241379310344828,0.3333333333333333,0.5861111111111111,0.08085909998044372,0.00028060004115104675
14,Breast Cancer,4,RandomFuzzyRules__max_sampling_attempts__1000000,257,29,9,0.7241379310344828,0.3333333333333333,0.5861111111111111,0.056821799953468144,0.0003043999895453453
14,Breast Cancer,5,RandomFuzzyRules__max_sampling_attempts__20000,257,29,9,0.5862068965517241,0.0,0.425,0.041447299998253584,0.00031409994699060917
14,Breast Cancer,5,RandomFuzzyRules__max_sampling_attempts__100000,257,29,9,0.6206896551724138,0.0,0.45,0.05763870000373572,0.00032950006425380707
14,Breast Cancer,5,RandomFuzzyRules__max_sampling_attempts__1000000,257,29,9,0.6206896551724138,0.0,0.45,0.05963999999221414,0.000319099985063076
14,Breast Cancer,6,RandomFuzzyRules__max_sampling_attempts__20000,257,29,9,0.7931034482758621,0.5,0.65,0.0399073000298813,0.00032700004521757364
14,Breast Cancer,6,RandomFuzzyRules__max_sampling_attempts__100000,257,29,9,0.7241379310344828,0.3333333333333333,0.5861111111111111,0.05699890002142638,0.00030610000248998404
14,Breast Cancer,6,RandomFuzzyRules__max_sampling_attempts__1000000,257,29,9,0.7241379310344828,0.3333333333333333,0.5861111111111111,0.06329389999154955,0.0003263999242335558
14,Breast Cancer,7,RandomFuzzyRules__max_sampling_attempts__20000,258,28,9,0.8214285714285714,0.6153846153846154,0.7249999999999999,0.038654600037261844,0.0002975000534206629
