dataset_name,estimator,accuracy,balanced_accuracy,auroc,mcc,fit_time,completed_folds,n_expected_folds
anes_voting_2026,RandomFuzzyRules__threshold__0_1,0.8314060368686033,0.643339689617024,0.6432670597643388,0.3904089717335244,2.046683884174046,9,9
anes_voting_2026,RandomFuzzyRules__threshold__0_2,0.8314060368686033,0.643339689617024,0.6432670597643388,0.3904089717335244,1.9233813710614212,9,9
anes_voting_2026,RandomFuzzyRules__threshold__0_3,0.8314060368686033,0.643339689617024,0.6432670597643388,0.3904089717335244,1.931172763928771,9,9
anes_voting_2026,RandomFuzzyRules__threshold__0_4,0.8314060368686033,0.643339689617024,0.6432670597643388,0.3904089717335244,1.9190663210012846,9,9
anes_voting_2026,RandomFuzzyRules__threshold__0_5,0.8314060368686033,0.643339689617024,0.6432670597643388,0.3904089717335244,1.3518056094956894,9,9
anes_voting_2026,RandomFuzzyRules__threshold__0_6,0.8314060368686033,0.643339689617024,0.6432670597643388,0.3904089717335244,1.9214047447571323,9,9
anes_voting_2026,RandomFuzzyRules__threshold__0_7,0.8314060368686033,0.643339689617024,0.6432670597643388,0.3904089717335244,1.923907658085227,9,9
anes_voting_2026,RandomFuzzyRules__threshold__0_8,0.7761407207713665,0.6392241516200902,0.6402273662778161,0.2978444065519541,1.9250932129927807,9,9
anes_voting_2026,RandomFuzzyRules__threshold__0_9,0.7761407207713665,0.6392241516200902,0.6402273662778161,0.2978444065519541,1.923985323920432,9,9
aps_failure,RandomFuzzyRules__threshold__0_1,0.9764298515034877,0.8462754451794575,0.9621631150491352,0.5349441481554693,1.776429393535687,9,9
aps_failure,RandomFuzzyRules__threshold__0_2,0.9773245774388442,0.8392456949434981,0.9697361429318497,0.5332104731077953,1.7712292099992435,9,9
aps_failure,RandomFuzzyRules__threshold__0_3,0.9814429768519122,0.7813867513251432,0.9729517122472338,0.5213467706840306,1.7730809025880363,9,9
aps_failure,RandomFuzzyRules__threshold__0_4,0.9827850770948253,0.7169981575564575,0.9732463190158906,0.475221929229057,1.7751468560761876,9,9
aps_failure,RandomFuzzyRules__threshold__0_5,0.9829254386482883,0.6317578192006864,0.9373218930756144,0.37896057314880516,1.0874757974719007,9,9
aps_failure,RandomFuzzyRules__threshold__0_6,0.9829166672955538,0.5816599929474996,0.9158338268346571,0.3095512785597804,1.777964535376264,9,9
aps_failure,RandomFuzzyRules__threshold__0_7,0.9144429932758652,0.8356696463302752,0.8720178172657455,0.3060399684782951,1.7783547533262107,9,9
aps_failure,RandomFuzzyRules__threshold__0_8,0.9762236821247586,0.8440489409932286,0.9651901341742365,0.5272084405815537,1.7789627961917884,9,9
aps_failure,RandomFuzzyRules__threshold__0_9,0.9652241362354734,0.5719856630464529,0.8498042761750133,0.2007972743490531,1.7695023021143343,9,9
bank_marketing,RandomFuzzyRules__threshold__0_1,0.8928874124689842,0.585715206481334,0.585715206481334,0.30667789992207173,0.2132706404663622,9,9
bank_marketing,RandomFuzzyRules__threshold__0_2,0.8928874124689842,0.585715206481334,0.585715206481334,0.30667789992207173,0.21671409206464884,9,9
bank_marketing,RandomFuzzyRules__threshold__0_3,0.8917077324571875,0.5911433784349905,0.5816930374185544,0.3082613603309443,0.21966912762986285,9,9
bank_marketing,RandomFuzzyRules__threshold__0_4,0.89262198446633,0.5864670316650566,0.5843763337145207,0.30623204675218846,0.2189682671386334,9,9
bank_marketing,RandomFuzzyRules__threshold__0_5,0.8926662224667723,0.586300721921407,0.5837279719938452,0.306203565451867,0.15333298112576202,9,9
bank_marketing,RandomFuzzyRules__threshold__0_6,0.8925703734658139,0.5872032441456625,0.5843510971640712,0.3069269905247476,0.21941718862702445,9,9
bank_marketing,RandomFuzzyRules__threshold__0_7,0.892894785469058,0.5858287295170854,0.5849994588847466,0.3068499465909668,0.21659229111133346,9,9
bank_marketing,RandomFuzzyRules__threshold__0_8,0.8928284309144829,0.5860918642165862,0.5890959180357545,0.3068458752688569,0.22631017304956907,9,9
bank_marketing,RandomFuzzyRules__threshold__0_9,0.8928800419149989,0.5857657071996049,0.5941245345600074,0.30669290377489616,0.2282267817710009,9,9
blood_transfusion,RandomFuzzyRules__threshold__0_1,0.7485325301204819,0.6084040786995738,0.6991740509465755,0.25278609548682296,0.042272744397632726,60,60
blood_transfusion,RandomFuzzyRules__threshold__0_2,0.7011740294511379,0.5668946377242541,0.67896222370899,0.1794263525038153,0.04232543134906635,60,60
blood_transfusion,RandomFuzzyRules__threshold__0_3,0.6074313253012048,0.5814598820497571,0.6515251387649916,0.1599503354844839,0.04225383129281298,60,60
blood_transfusion,RandomFuzzyRules__threshold__0_4,0.6426688085676038,0.6350955248290217,0.6678512241054614,0.23589520797120944,0.0423958744698514,60,60
blood_transfusion,RandomFuzzyRules__threshold__0_5,0.648532797858099,0.6727197938348696,0.683313274358212,0.29641186876388587,0.03921124176122245,60,60
blood_transfusion,RandomFuzzyRules__threshold__0_6,0.6629828647925033,0.6686327931410447,0.7025724055902468,0.2936749621930805,0.04281990500167007,60,60
blood_transfusion,RandomFuzzyRules__threshold__0_7,0.6643073627844712,0.6709730895034196,0.7282621047675686,0.29675787824095884,0.04300506315970168,60,60
blood_transfusion,RandomFuzzyRules__threshold__0_8,0.6724929049531458,0.6490716374269005,0.6834938051343047,0.26868542369368126,0.04234515603166069,60,60
blood_transfusion,RandomFuzzyRules__threshold__0_9,0.6443170013386881,0.6632151352958667,0.7096587991872336,0.2819588269500792,0.04225029152973239,60,60
coil_2000,RandomFuzzyRules__threshold__0_1,0.6628996131134188,0.6235888823884381,0.6395096567314127,0.1268311942418399,0.0722462452637652,9,9
coil_2000,RandomFuzzyRules__threshold__0_2,0.6026946311002512,0.6335318559248548,0.6468556762164268,0.12935145732271858,0.06930723910530404,9,9
coil_2000,RandomFuzzyRules__threshold__0_3,0.6200366524129506,0.6669042753581081,0.6634503569174326,0.16099955056692497,0.07077333118973503,9,9
coil_2000,RandomFuzzyRules__threshold__0_4,0.6423335369578498,0.6659730986479596,0.6622472673050586,0.16224018573303062,0.07034385592366255,9,9
coil_2000,RandomFuzzyRules__threshold__0_5,0.5925812801194597,0.6488426564960214,0.6654263977945145,0.143291720438637,0.0514817943072153,9,9
coil_2000,RandomFuzzyRules__threshold__0_6,0.6422317246996538,0.6731107708280711,0.6700452220692208,0.16872290481692742,0.0685641267854306,9,9
coil_2000,RandomFuzzyRules__threshold__0_7,0.6191542795085861,0.6171742309835934,0.6642022966156834,0.11596011059024297,0.06932025796009429,9,9
coil_2000,RandomFuzzyRules__threshold__0_8,0.7611484422724496,0.6324584239213135,0.6666110519499484,0.14738682680367857,0.06994208408933542,9,9
coil_2000,RandomFuzzyRules__threshold__0_9,0.7774044661643928,0.638195497522051,0.6613353537869491,0.1603060851497119,0.07051494081194198,9,9
credit_approval,RandomFuzzyRules__threshold__0_1,0.8540579710144928,0.8608025094506052,0.8655379023627231,0.7191383719542058,0.023182497049371354,60,60
credit_approval,RandomFuzzyRules__threshold__0_2,0.8547826086956521,0.8618318838975528,0.8654054193441767,0.7211639706489164,0.023185356302807682,60,60
credit_approval,RandomFuzzyRules__threshold__0_3,0.855144927536232,0.8621725970791032,0.8653164168812671,0.7216126231137918,0.023198721596660674,60,60
credit_approval,RandomFuzzyRules__threshold__0_4,0.8546376811594203,0.861621543387999,0.8662470664865515,0.720404841597722,0.02330584148876364,60,60
credit_approval,RandomFuzzyRules__threshold__0_5,0.8552173913043479,0.8625186940108714,0.864423587223452,0.722370834232113,0.021071787962379514,60,60
credit_approval,RandomFuzzyRules__threshold__0_6,0.8548550724637681,0.8620016339283751,0.8634847327371642,0.7214036224585101,0.023352182586677324,60,60
credit_approval,RandomFuzzyRules__threshold__0_7,0.8531159420289854,0.8595884496721471,0.8616788442982275,0.7162406355585664,0.02344087985499447,60,60
credit_approval,RandomFuzzyRules__threshold__0_8,0.854927536231884,0.8622539472546433,0.8649382088188077,0.721851772899116,0.02365450437646353,60,60
credit_approval,RandomFuzzyRules__threshold__0_9,0.8540579710144928,0.8610718497847499,0.8561537613173518,0.719291022700053,0.023675818795648666,60,60
early_stage_diabetes_risk_prediction,RandomFuzzyRules__threshold__0_1,0.8322623828647925,0.8219922596056898,0.8546382257589153,0.6297396139596684,0.016458073118701528,60,60
early_stage_diabetes_risk_prediction,RandomFuzzyRules__threshold__0_2,0.8358362019506598,0.8231637892254952,0.8564728853521957,0.6358807330466804,0.016539324827802633,60,60
early_stage_diabetes_risk_prediction,RandomFuzzyRules__threshold__0_3,0.836830655957162,0.8265346999239921,0.8567712938402593,0.6396165189572866,0.016394760009522197,60,60
early_stage_diabetes_risk_prediction,RandomFuzzyRules__threshold__0_4,0.8396108242493785,0.8266262196162377,0.8568926737710767,0.6433409513585286,0.016428884506846424,60,60
early_stage_diabetes_risk_prediction,RandomFuzzyRules__threshold__0_5,0.8400076496462039,0.8272672452572635,0.8568926737710767,0.6443135080899214,0.015942377294413692,60,60
early_stage_diabetes_risk_prediction,RandomFuzzyRules__threshold__0_6,0.8398044559189137,0.8265981044565437,0.8569151658988319,0.643750183493993,0.016450183885171967,60,60
early_stage_diabetes_risk_prediction,RandomFuzzyRules__threshold__0_7,0.8398044559189137,0.8265981044565437,0.8569151658988319,0.643750183493993,0.016456510305094173,60,60
early_stage_diabetes_risk_prediction,RandomFuzzyRules__threshold__0_8,0.7818536048957736,0.7993293080180558,0.8270589022290474,0.5623225224422032,0.01676938820940748,60,60
