Classifier,Rules,Conditions,Conditions/rule,Literals,Literals/rule
RFR,1.1388888888888888,2.0,1.4444444444444444,2.0,1.4444444444444444
GPR (\texttt{gpr-fast}),2.0,4.352777777777778,2.35,4.716666666666667,2.484722222222222
