study,value,repeat,estimator,n_samples,n_original_features,n_numerical_features,n_categorical_features,n_transformed_features,n_candidates,fit_time,fit_wall_time,status
samples,512,2,RFR,512,70,60,10,100,1000,0.007183314999565482,0.007183314999565482,ok
samples,512,2,GPR,512,70,60,10,100,,0.528208005009219,0.7430690980982035,ok
samples,512,2,FIGS,512,70,60,10,100,,0.19614972500130534,0.19614972500130534,ok
samples,512,2,HSTree,512,70,60,10,100,,0.014537917915731668,0.014537917915731668,ok
samples,512,2,GreedyRuleList,512,70,60,10,100,,0.007953077089041471,0.007953077089041471,ok
samples,512,3,RFR,512,70,60,10,100,1000,0.00716542499139905,0.00716542499139905,ok
samples,512,3,GPR,512,70,60,10,100,,0.4911895419936627,0.7054550428874791,ok
samples,512,3,FIGS,512,70,60,10,100,,0.19234279007650912,0.19234279007650912,ok
samples,512,3,HSTree,512,70,60,10,100,,0.01465723686851561,0.01465723686851561,ok
samples,512,3,GreedyRuleList,512,70,60,10,100,,0.007993766106665134,0.007993766106665134,ok
samples,512,4,RFR,512,70,60,10,100,1000,0.007192944874987006,0.007192944874987006,ok
samples,512,4,GPR,512,70,60,10,100,,0.45955004589632154,0.6732226239982992,ok
samples,512,4,FIGS,512,70,60,10,100,,0.22788071003742516,0.22788071003742516,ok
samples,512,4,HSTree,512,70,60,10,100,,0.014576557790860534,0.014576557790860534,ok
samples,512,4,GreedyRuleList,512,70,60,10,100,,0.009440277935937047,0.009440277935937047,ok
samples,1024,0,RFR,1024,70,60,10,100,1000,0.013556980062276125,0.013556980062276125,ok
samples,1024,0,GPR,1024,70,60,10,100,,0.5373257182072848,0.750132097164169,ok
samples,1024,0,FIGS,1024,70,60,10,100,,0.4859548050444573,0.4859548050444573,ok
samples,1024,0,HSTree,1024,70,60,10,100,,0.029173396062105894,0.029173396062105894,ok
samples,1024,0,GreedyRuleList,1024,70,60,10,100,,0.01486353506334126,0.01486353506334126,ok
samples,1024,1,RFR,1024,70,60,10,100,1000,0.013474150793626904,0.013474150793626904,ok
samples,1024,1,GPR,1024,70,60,10,100,,0.8456844200845808,1.0583676400128752,ok
samples,1024,1,FIGS,1024,70,60,10,100,,0.4861538230907172,0.4861538230907172,ok
