study,value,repeat,estimator,n_samples,n_original_features,n_numerical_features,n_categorical_features,n_transformed_features,n_candidates,fit_time,fit_wall_time,status
samples,512,0,GPR,512,70,60,10,100,,1.2618454999999926,2.1138574000000006,ok
samples,512,0,FIGS,512,70,60,10,100,,0.29423810000000117,0.29423810000000117,ok
samples,512,0,RuleFit,512,70,60,10,100,,2.140490900000003,2.140490900000003,ok
samples,512,0,HSTree,512,70,60,10,100,,0.02203169999998522,0.02203169999998522,ok
samples,512,0,GreedyRuleList,512,70,60,10,100,,0.014898799999997436,0.014898799999997436,ok
samples,512,1,RFR,512,70,60,10,100,10000,0.09898689999999988,0.09898689999999988,ok
samples,512,1,GPR,512,70,60,10,100,,0.5572942000000012,1.2135279000000025,ok
samples,512,1,FIGS,512,70,60,10,100,,0.27834459999999694,0.27834459999999694,ok
samples,512,1,RuleFit,512,70,60,10,100,,2.212427400000024,2.212427400000024,ok
samples,512,1,HSTree,512,70,60,10,100,,0.02068909999999846,0.02068909999999846,ok
samples,512,1,GreedyRuleList,512,70,60,10,100,,0.014484100000004219,0.014484100000004219,ok
samples,512,2,RFR,512,70,60,10,100,10000,0.0998745999999926,0.0998745999999926,ok
samples,512,2,GPR,512,70,60,10,100,,0.8510443000000123,1.4990464999999915,ok
samples,512,2,FIGS,512,70,60,10,100,,0.24792780000001358,0.24792780000001358,ok
samples,512,2,RuleFit,512,70,60,10,100,,2.187180799999993,2.187180799999993,ok
samples,512,2,HSTree,512,70,60,10,100,,0.017697200000014846,0.017697200000014846,ok
samples,512,2,GreedyRuleList,512,70,60,10,100,,0.013660799999996698,0.013660799999996698,ok
samples,512,3,RFR,512,70,60,10,100,10000,0.09928690000000984,0.09928690000000984,ok
samples,512,3,GPR,512,70,60,10,100,,0.7678914999999904,1.430018600000011,ok
samples,512,3,FIGS,512,70,60,10,100,,0.24240660000000958,0.24240660000000958,ok
samples,512,3,RuleFit,512,70,60,10,100,,2.1453311000000213,2.1453311000000213,ok
samples,512,3,HSTree,512,70,60,10,100,,0.021242099999994934,0.021242099999994934,ok
samples,512,3,GreedyRuleList,512,70,60,10,100,,0.012723300000004656,0.012723300000004656,ok
samples,512,4,RFR,512,70,60,10,100,10000,0.09740840000000617,0.09740840000000617,ok
samples,512,4,GPR,512,70,60,10,100,,0.7385438999999963,1.430437100000006,ok
samples,512,4,FIGS,512,70,60,10,100,,0.28453799999999774,0.28453799999999774,ok
samples,512,4,RuleFit,512,70,60,10,100,,2.177580699999993,2.177580699999993,ok
samples,512,4,HSTree,512,70,60,10,100,,0.021332200000017565,0.021332200000017565,ok
samples,512,4,GreedyRuleList,512,70,60,10,100,,0.014866900000015448,0.014866900000015448,ok
samples,1024,0,RFR,1024,70,60,10,100,10000,0.17485540000001265,0.17485540000001265,ok
samples,1024,0,GPR,1024,70,60,10,100,,0.8667298999999957,1.5524018000000126,ok
samples,1024,0,FIGS,1024,70,60,10,100,,0.5703377000000103,0.5703377000000103,ok
samples,1024,0,RuleFit,1024,70,60,10,100,,2.897654700000004,2.897654700000004,ok
samples,1024,0,HSTree,1024,70,60,10,100,,0.03721780000000763,0.03721780000000763,ok
samples,1024,0,GreedyRuleList,1024,70,60,10,100,,0.021899799999999914,0.021899799999999914,ok
samples,1024,1,RFR,1024,70,60,10,100,10000,0.17573630000001117,0.17573630000001117,ok
samples,1024,1,GPR,1024,70,60,10,100,,1.240689400000008,1.9254305000000045,ok
samples,1024,1,FIGS,1024,70,60,10,100,,0.583007600000002,0.583007600000002,ok
samples,1024,1,RuleFit,1024,70,60,10,100,,2.8882963000000075,2.8882963000000075,ok
samples,1024,1,HSTree,1024,70,60,10,100,,0.03796370000000593,0.03796370000000593,ok
samples,1024,1,GreedyRuleList,1024,70,60,10,100,,0.02182200000001444,0.02182200000001444,ok
samples,1024,2,RFR,1024,70,60,10,100,10000,0.17497489999999516,0.17497489999999516,ok
samples,1024,2,GPR,1024,70,60,10,100,,0.7133056000000124,1.3931096000000025,ok
samples,1024,2,FIGS,1024,70,60,10,100,,0.5728300000000104,0.5728300000000104,ok
samples,1024,2,RuleFit,1024,70,60,10,100,,3.0058877000000166,3.0058877000000166,ok
samples,1024,2,HSTree,1024,70,60,10,100,,0.03786660000000097,0.03786660000000097,ok
samples,1024,2,GreedyRuleList,1024,70,60,10,100,,0.021988300000003846,0.021988300000003846,ok
samples,1024,3,RFR,1024,70,60,10,100,10000,0.17334320000000503,0.17334320000000503,ok
samples,1024,3,GPR,1024,70,60,10,100,,0.7338356000000203,1.4117650999999967,ok
samples,1024,3,FIGS,1024,70,60,10,100,,0.4921845000000076,0.4921845000000076,ok
samples,1024,3,RuleFit,1024,70,60,10,100,,2.940452799999946,2.940452799999946,ok
samples,1024,3,HSTree,1024,70,60,10,100,,0.03826409999999214,0.03826409999999214,ok
samples,1024,3,GreedyRuleList,1024,70,60,10,100,,0.024805599999979222,0.024805599999979222,ok
samples,1024,4,RFR,1024,70,60,10,100,10000,0.17454459999999017,0.17454459999999017,ok
samples,1024,4,GPR,1024,70,60,10,100,,0.7548620999999684,1.4514354000000367,ok
samples,1024,4,FIGS,1024,70,60,10,100,,0.5334064999999555,0.5334064999999555,ok
samples,1024,4,RuleFit,1024,70,60,10,100,,2.8533424999999966,2.8533424999999966,ok
samples,1024,4,HSTree,1024,70,60,10,100,,0.03883780000001025,0.03883780000001025,ok
samples,1024,4,GreedyRuleList,1024,70,60,10,100,,0.024112899999977344,0.024112899999977344,ok
samples,2048,0,RFR,2048,70,60,10,100,10000,0.32190239999999903,0.32190239999999903,ok
samples,2048,0,GPR,2048,70,60,10,100,,0.9085829000000558,1.5993640000000369,ok
samples,2048,0,FIGS,2048,70,60,10,100,,1.1435459000000492,1.1435459000000492,ok
samples,2048,0,RuleFit,2048,70,60,10,100,,4.481699200000037,4.481699200000037,ok
samples,2048,0,HSTree,2048,70,60,10,100,,0.07416790000002038,0.07416790000002038,ok
samples,2048,0,GreedyRuleList,2048,70,60,10,100,,0.04111629999999877,0.04111629999999877,ok
samples,2048,1,RFR,2048,70,60,10,100,10000,0.3208823999999595,0.3208823999999595,ok
samples,2048,1,GPR,2048,70,60,10,100,,0.9803302999999914,1.6585481999999843,ok
samples,2048,1,FIGS,2048,70,60,10,100,,1.1563910999999507,1.1563910999999507,ok
samples,2048,1,RuleFit,2048,70,60,10,100,,4.4850218999999925,4.4850218999999925,ok
samples,2048,1,HSTree,2048,70,60,10,100,,0.0704188000000272,0.0704188000000272,ok
samples,2048,1,GreedyRuleList,2048,70,60,10,100,,0.04363530000000537,0.04363530000000537,ok
samples,2048,2,RFR,2048,70,60,10,100,10000,0.32345900000001393,0.32345900000001393,ok
samples,2048,2,GPR,2048,70,60,10,100,,0.8106468999999947,1.4766237000000046,ok
samples,2048,2,FIGS,2048,70,60,10,100,,1.1585638000000245,1.1585638000000245,ok
samples,2048,2,RuleFit,2048,70,60,10,100,,4.487921700000015,4.487921700000015,ok
samples,2048,2,HSTree,2048,70,60,10,100,,0.07354740000005222,0.07354740000005222,ok
samples,2048,2,GreedyRuleList,2048,70,60,10,100,,0.03705230000002757,0.03705230000002757,ok
samples,2048,3,RFR,2048,70,60,10,100,10000,0.32047470000003386,0.32047470000003386,ok
samples,2048,3,GPR,2048,70,60,10,100,,0.8175901999999837,1.4815623000000073,ok
samples,2048,3,FIGS,2048,70,60,10,100,,1.0972413000000074,1.0972413000000074,ok
samples,2048,3,RuleFit,2048,70,60,10,100,,4.634522899999979,4.634522899999979,ok
samples,2048,3,HSTree,2048,70,60,10,100,,0.07823239999999032,0.07823239999999032,ok
samples,2048,3,GreedyRuleList,2048,70,60,10,100,,0.0412804000000051,0.0412804000000051,ok
samples,2048,4,RFR,2048,70,60,10,100,10000,0.32835660000000644,0.32835660000000644,ok
