dataset_id,dataset_name,estimator,accuracy,fit_time,completed_folds
176,Blood Transfusion Service Center,RandomFuzzyRules__quantile_transform__normal,0.7606666666666666,0.08741460000455839,10
176,Blood Transfusion Service Center,RandomFuzzyRules__quantile_transform__uniform,0.7687747747747748,0.08524714000086528,10
222,Bank Marketing,RandomFuzzyRules__quantile_transform__none,0.892747325591781,2.1288130400003866,10
222,Bank Marketing,RandomFuzzyRules__quantile_transform__normal,0.8929464014851917,2.1779787000021313,10
222,Bank Marketing,RandomFuzzyRules__quantile_transform__uniform,0.8927030875913387,1.9048232599991024,10
225,ILPD (Indian Liver Patient Dataset),RandomFuzzyRules__quantile_transform__none,0.6877849210987727,0.07481414999783734,10
225,ILPD (Indian Liver Patient Dataset),RandomFuzzyRules__quantile_transform__normal,0.7170368205727644,0.08445269000076219,10
225,ILPD (Indian Liver Patient Dataset),RandomFuzzyRules__quantile_transform__uniform,0.7049678550555231,0.08053699000010958,10
264,EEG Eye State,RandomFuzzyRules__quantile_transform__none,0.5783711615487317,0.43071122999972433,10
264,EEG Eye State,RandomFuzzyRules__quantile_transform__normal,0.6423898531375167,0.5247133299970301,10
264,EEG Eye State,RandomFuzzyRules__quantile_transform__uniform,0.6402536715620828,0.49527719999896364,10
267,Banknote Authentication,RandomFuzzyRules__quantile_transform__none,0.918380408335978,0.10707740000070767,10
267,Banknote Authentication,RandomFuzzyRules__quantile_transform__normal,0.9591716915264996,0.1113217499994789,10
267,Banknote Authentication,RandomFuzzyRules__quantile_transform__uniform,0.9416851793081561,0.11508906999952155,10
277,Thoracic Surgery Data,RandomFuzzyRules__quantile_transform__none,0.8531914893617021,0.0461542699980782,10
277,Thoracic Surgery Data,RandomFuzzyRules__quantile_transform__normal,0.8446808510638298,0.04878140999935564,10
277,Thoracic Surgery Data,RandomFuzzyRules__quantile_transform__uniform,0.8446808510638298,0.04658540000236822,10
327,Phishing Websites,RandomFuzzyRules__quantile_transform__none,0.8920852937085252,0.3527109299975564,10
