dataset_name,repeat_id,fold_id,fold,n_expected_folds,estimator,n_train,n_test,n_original_features,n_transformed_features,accuracy,fit_time,predict_time
anes_voting_2026,6,0,7,9,RandomFuzzyRules__n_candidates__1000,22543,1344,318,6238,0.7157738095238095,0.5341669549234211,0.047270873095840216
anes_voting_2026,6,0,7,9,RandomFuzzyRules__n_candidates__5000,22543,1344,318,6238,0.7157738095238095,0.7588038330432028,0.04712898493744433
anes_voting_2026,6,0,7,9,RandomFuzzyRules__n_candidates__10000,22543,1344,318,6238,0.7157738095238095,1.0387909461278468,0.04641422093845904
anes_voting_2026,6,0,7,9,RandomFuzzyRules__n_candidates__25000,22543,1344,318,6238,0.7157738095238095,1.888712139800191,0.046110464027151465
anes_voting_2026,6,0,7,9,RandomFuzzyRules__n_candidates__50000,22543,1344,318,6238,0.7157738095238095,3.306751189986244,0.044447429943829775
anes_voting_2026,6,0,7,9,RandomFuzzyRules__n_candidates__100000,22543,1344,318,6238,0.7157738095238095,6.176078227814287,0.04295700299553573
anes_voting_2026,7,0,8,9,RandomFuzzyRules__n_candidates__1000,20989,1554,318,6181,0.7612612612612613,0.49524884507991374,0.025464378064498305
anes_voting_2026,7,0,8,9,RandomFuzzyRules__n_candidates__5000,20989,1554,318,6181,0.851994851994852,0.7182891299016774,0.025381260085850954
anes_voting_2026,7,0,8,9,RandomFuzzyRules__n_candidates__10000,20989,1554,318,6181,0.851994851994852,0.9637436610646546,0.02520621079020202
anes_voting_2026,7,0,8,9,RandomFuzzyRules__n_candidates__25000,20989,1554,318,6181,0.851994851994852,1.7570552742108703,0.025398778961971402
anes_voting_2026,7,0,8,9,RandomFuzzyRules__n_candidates__50000,20989,1554,318,6181,0.851994851994852,3.040041809203103,0.025480937911197543
anes_voting_2026,7,0,8,9,RandomFuzzyRules__n_candidates__100000,20989,1554,318,6181,0.851994851994852,5.783783049788326,0.025244029937312007
anes_voting_2026,8,0,9,9,RandomFuzzyRules__n_candidates__1000,19455,1534,318,6128,0.7646675358539765,0.4614480109885335,0.05277035804465413
anes_voting_2026,8,0,9,9,RandomFuzzyRules__n_candidates__5000,19455,1534,318,6128,0.8702737940026075,0.6654217201285064,0.04935594997368753
anes_voting_2026,8,0,9,9,RandomFuzzyRules__n_candidates__10000,19455,1534,318,6128,0.8702737940026075,0.8931866420898587,0.05228542210534215
anes_voting_2026,8,0,9,9,RandomFuzzyRules__n_candidates__25000,19455,1534,318,6128,0.8500651890482399,1.6044158909935504,0.05195879517123103
anes_voting_2026,8,0,9,9,RandomFuzzyRules__n_candidates__50000,19455,1534,318,6128,0.8546284224250326,2.827640247065574,0.050652127945795655
